<seg id="1">	Reinício da sessão
<seg id="2">	Declaro reaberta a sessão do Parlamento Europeu interrompida na sexta-feira, 17 de Dezembro de 1999, e gostaria mais uma vez de desejar a vocês um feliz ano novo, na esperança de que tenham passado um agradável período de festas.
<seg id="3">	Embora, como vocês devem ter visto, o temido 'bug do milênio' não tenha se materializado, ainda assim as pessoas em vários países sofreram uma série de desastres naturais que foram terríveis.
<seg id="4">	Vocês solicitaram um debate sobre este assunto nos próximos dias, durante este período de sessões.
<seg id="5">	Entretanto, gostaria de fazer um minuto de silêncio, como vários deputados solicitaram, em nome de todas as vítimas, particularmente as das terríveis tempestades, nos vários países da União Europeia.
<seg id="6">	Por favor, então levantem-se para fazermos um minuto de silêncio.
<seg id="7">	(A Câmara levantou-se e observou um minuto de silêncio)
<seg id="8">	Senhora Presidente, um ponto de ordem.
<seg id="9">	Você deve estar informada pela imprensa e pela televisão que houve uma série de explosões de bombas e assassinatos no Sri Lanka.
<seg id="10">	Uma das pessoas assassinadas muito recentemente no Sri Lanka foi o Kumar Ponnambalam, que visitou o Parlamento Europeu há apenas alguns meses.
<seg id="11">	Seria apropriado para você, Senhora Presidente, escrever uma carta à Presidente do Sri Lanka expressando o pesar do Parlamento pela sua e pelas outras mortes violentas no Sri Lanka e pedindo a ela para fazer tudo o que estiver ao seu alcance e tentar uma reconciliação pacífica nessa situação extramemente difícil ?
<seg id="12">	Sim, Sr. Evans, acho que uma iniciativa do tipo que acaba de sugerir seria totalmente apropriada.
<seg id="13">	Se a Assembleia concordar, farei o que o senhor deputado Evans sugeriu.
<seg id="14">	Senhora Presidente, um ponto de ordem.
<seg id="15">	Gostaria do seu conselho sobre o artigo 143º, relativo à inadmissibilidade.
<seg id="16">	A minha pergunta diz respeito a algo que vai surgir na quinta-feira e que depois voltarei a abordar.
<seg id="17">	O relatório Cunha sobre os programas de orientação plurianuais será apresentado ao Parlamento na quinta-feira e contém uma proposta no n.º 6 de que seja introduzida uma forma de penalização das quotas para os países que não cumpram os seus objectivos de redução da frota anualmente.
<seg id="18">	O relatório diz que isso deve ser feito apesar do princípio da estabilidade relativa.
<seg id="19">	Creio que o princípio da estabilidade relativa é um princípio jurídico fundamental da política comum da pesca e uma proposta para o subverter seria juridicamente inadmissível.
<seg id="20">	Gostaria de saber se podemos levantar objeções desse tipo ao que é apenas um relatório, não uma proposta legislativa, e se isso é algo que posso fazer na quinta-feira.
<seg id="21">	É precisamente nessa altura que poderá, se desejar, levantar esta questão, ou seja, na quinta-feira anterior ao início da apresentação do relatório.
<seg id="22">	Senhora Presidente, coincidindo com o primeiro período de sessões deste ano do Parlamento Europeu, foi fixada, infelizmente para a próxima quinta-feira, no Texas, nos Estados Unidos, uma data para a execução de um jovem de 34 anos condenado a morte. 
<seg id="23">	Vamos chamá-lo de Sr. Hicks.
<seg id="24">	A pedido de um deputado francês, o senhor deputado Zimeray, já foi apresentada uma petição, que muitas pessoas assinaram, incluindo eu. 
